anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity,entropy,complexity
0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.0,0.1111111111111111,-0.6000000000000001,0.8344194449252152,0.0502196888149435
0.08695652173913043,0.2608695652173913,0.043478260869565216,0.21739130434782608,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.08695652173913043,-0.5,0.911920427689095,0.04288094638708174
0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.5,0.861654166907052,0.0359022569544605
0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,1.0,0.7739760316291208,0.05804820237218407
0.0,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.6666666666666667,0.8998379501066553,0.03443257462142813
0.0,0.2,0.2,0.4,0.0,0.0,0.2,0.0,-0.3333333333333333,0.6406426982957875,0.09929961823584707
0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.7739760316291208,0.05804820237218407
0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.840546878781106,0.04931780156113632
0.043478260869565216,0.17391304347826086,0.043478260869565216,0.17391304347826086,0.30434782608695654,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.4285714285714286,0.8932688845325304,0.052135494914823964
0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.6666666666666666,0.08333333333333333
0.125,0.0,0.5,0.125,0.125,0.125,0.0,0.0,-0.7142857142857142,0.6666666666666666,0.125
0.07142857142857142,0.42857142857142855,0.0,0.07142857142857142,0.2857142857142857,0.0,0.14285714285714285,0.0,0.3333333333333333,0.6617427120114172,0.11310398394072692
0.0,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.4285714285714286,0.8818644381503823,0.042743429400146075
0.08333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,-0.3333333333333333,0.6184628474025113,0.10307714123375186
0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,-1.0,0.5,0.125
0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.25,0.9911857540917285,0.003854611265912278
0.2,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.6406426982957875,0.09929961823584707
0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5555555555555556,0.7453087835430107,0.07415061877086075
0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-1.0,0.3333333333333333,0.125
0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.4,0.14285714285714285,0.6406426982957875,0.09929961823584707
0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,1.0,0.6394319446848299,0.09769099154907122
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2,-0.3333333333333333,0.7739760316291208,0.05804820237218407
0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,0.2727272727272727,0.8805347226228645,0.05299514534304277
0.0,0.18181818181818182,0.18181818181818182,0.0,0.5454545454545454,0.0,0.0,0.09090909090909091,0.5,0.5619385697176768,0.13874309727533546
0.0,0.125,0.0,0.0,0.375,0.0,0.0,0.5,1.0,0.4685463540765222,0.13177866208402186
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.3333333333333333,0.125
0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,1.0,0.7453087835430109,0.07415061877086078
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.0,-0.0
,,,,,,,,,-0.0,-0.0
0.09090909090909091,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.0,0.09090909090909091,0.36363636363636365,0.5384615384615385,0.8142873883851557,0.07991456807498946
0.0,0.25,0.125,0.125,0.125,0.125,0.0,0.25,-0.3333333333333333,0.8333333333333334,0.052083333333333336
0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,-0.4285714285714286,0.7093617596304648,0.09952779790733561
0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.3333333333333333,0.6141236643923697,0.11123158207106693
0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.6000000000000001,0.45698353148488957,0.1439498124177402
,,,,,,,,-1.0,-0.0,-0.0
0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.16666666666666666,0.16666666666666666,1.0,0.5974937501201926,0.12447786460837344
0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.3333333333333333,0.5,0.7323865744747163,0.08024605985756922
0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.3333333333333333,0.45698353148488957,0.1439498124177402
0.1,0.2,0.1,0.1,0.3,0.1,0.1,0.0,0.6000000000000001,0.8821464482236717,0.048518054652301947
0.058823529411764705,0.11764705882352941,0.058823529411764705,0.029411764705882353,0.23529411764705882,0.08823529411764706,0.029411764705882353,0.38235294117647056,0.5555555555555556,0.824638556514842,0.08809936135777073
,,,,,,,,0.0,-0.0,-0.0
,,,,,,,,-1.0,-0.0,-0.0
0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.2727272727272727,0.5,0.7666321303892971,0.06256605196358933
0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.5,0.6394319446848299,0.09769099154907122
0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.5,0.125
